ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	ALIGNMENT	COGID	COGIDS	SOURCE	STRUCTURE
1095	WitotoMurui	dry (substance)	θaɸerede	θaɸerede	θ a ɸ e + r e + d e	None	Huitotoan	θ a ɸ e + r e + d e	3388	666 1447 1448	Huber2021	C V C V + C V + C V
1301	WitotoNipode	dry (substance)	tapérede	tapérede	t a p e + ɾ e + d e	None	Huitotoan	t a p e + ɾ e + d e	3388	666 1447 1448	Huber2021	C V C V + C V + C V
928	WitotoMinica	dull (knife)	háinide	háinide	h ai + n i + d e	None	Huitotoan	h ai + n i + d e	3403	687 1449 1450	Huber2021	C V + C V + C V
1135	WitotoMurui	dull (knife)	hainide	hainide	h ai + n i + d e	sharp-NEG.ATT-LK.3	Huitotoan	h ai + n i + d e	3403	687 1449 1450	Huber2021	C V + C V + C V
1340	WitotoNipode	dull (knife)	háinide	háinide	h ai + n i + d e	None	Huitotoan	h ai + n i + d e	3403	687 1449 1450	Huber2021	C V + C V + C V
2628	Bora	dull (knife)	ʦʰɯ́ʔhɨ́-βa-tʰɯ́-ne	ʦʰɯ́ʔhɨ́-βa-tʰɯ́-ne	tsʰ ɯ.ʔ h ɨ + β a + tʰ ɯ + n ɛ	None	Boran	tsʰ ɯ.ʔ h ɨ + β a + tʰ ɯ + n ɛ	3395	676 677 678 679	Seifart2024	C V C V + C V + C V + C V
2629	Muinane	dull (knife)	sɨ́ɨ́he-βa-tɨ-no	sɨ́ɨ́he-βa-tɨ-no	s ɨ.ɨ h e + β a + t ɨ + n o	None	Boran	s ɨ.ɨ h e + β a + t ɨ + n o	3395	676 677 678 679	Seifart2024	C V C V + C V + C V + C V
2627	Proto-Bora-Muinane	dull (knife)	ʦɨɨʔhe-βa-tɨ-no	ʦɨɨʔhe-βa-tɨ-no	ts ɨ.ɨ.ʔ h e + β a + t ɨ + n o	None	Boran	ts ɨ.ɨ.ʔ h e + β a + t ɨ + n o	3395	676 677 678 679	Seifart2024	C V C V + C V + C V + C V
2708	Bora	dust	ʧíhʲɯɯ́	ʧíhʲɯɯ́	tʃ i hʲ ɯ.ɯ	None	Boran	tʃ i hʲ ɯ.ɯ	3413	704	Seifart2024	C V C V
2709	Muinane	dust	gíihɨ	gíihɨ	g i h ɨ	None	Boran	g i h ɨ	3413	704	Seifart2024	C V C V
2707	Proto-Bora-Muinane	dust	-giihɨ	-giihɨ	g i.i h ɨ	None	Boran	g i.i h ɨ	3413	704	Seifart2024	C V C V
751	WitotoMinica	ear	héɸo	héɸo	h e ɸ o	None	Huitotoan	h e ɸ o	3454	750	Huber2021	C V C V
973	WitotoMurui	ear	heɸo	heɸo	h e ɸ o	None	Huitotoan	h e ɸ o	3454	750	Huber2021	C V C V
1183	WitotoNipode	ear	hépo	hépo	h e p o	None	Huitotoan	h e p o	3454	750	Huber2021	C V C V
2765	AchuarShiwiar	ear	kuwísh	kuwísh	k u w i ʃ	None	Chicham	k u w i ʃ	3431	727	Fast2008	C V C V C
1411	Aguaruna	ear	kuwiʃ	kuwiʃ	k ʊ w i ʃ	None	Chicham	k ʊ w i ʃ	3431	727	Johansson2021	C V C V C
3571	Shuar	ear	kuish’	kuish’	k u i ʃˀ	None	Chicham	k u - i ʃˀ	3431	727	Pellizzaro2005	C V V C
4127	Wampis	ear	kuish	kuish	k u i ʃ	None	Chicham	k u - i ʃ	3431	727	Peña2023	C V V C
2766	AchuarShiwiar	earth (soil)	núngka	núngka	n u ŋ k a	None	Chicham	n u ŋ k a	3466	771	Fast2008	C V C C V
1412	Aguaruna	earth (soil)	nugka	nugka	n ʊ ŋ k a	None	Chicham	n ʊ ŋ k a	3466	771	Johansson2021	C V C C V
3572	Shuar	earth (soil)	nunka	nunka	n u ŋ k a	None	Chicham	n u ŋ k a	3466	771	Pellizzaro2005	C V C C V
